iter	Passed	Remaining
809	8173	1917
810	8182	1906
811	8191	1896
812	8200	1886
813	8210	1876
814	8219	1865
815	8228	1855
816	8238	1845
817	8247	1835
818	8257	1825
819	8268	1815
820	8280	1805
821	8290	1795
822	8300	1785
823	8310	1775
824	8320	1765
825	8329	1754
826	8338	1744
827	8349	1734
828	8359	1724
829	8368	1714
830	8380	1704
831	8388	1693
832	8398	1683
833	8408	1673
834	8418	1663
835	8428	1653
836	8437	1643
837	8447	1633
838	8456	1622
839	8465	1612
840	8476	1602
841	8486	1592
842	8495	1582
843	8505	1572
844	8516	1562
845	8524	1551
846	8533	1541
847	8543	1531
848	8552	1521
849	8562	1510
850	8571	1500
851	8582	1490
852	8591	1480
853	8602	1470
854	8616	1461
855	8627	1451
856	8635	1440
857	8645	1430
858	8656	1420
859	8665	1410
860	8675	1400
861	8685	1390
862	8694	1380
863	8704	1370
864	8715	1360
865	8724	1349
866	8733	1339
867	8744	1329
868	8755	1319
869	8763	1309
870	8773	1299
871	8784	1289
872	8793	1279
873	8804	1269
874	8813	1259
875	8821	1248
876	8831	1238
877	8840	1228
878	8852	1218
879	8862	1208
880	8873	1198
881	8882	1188
882	8893	1178
883	8902	1168
884	8912	1158
885	8922	1148
886	8932	1138
887	8945	1128
888	8956	1118
889	8965	1108
890	8976	1098
891	8985	1087
892	8994	1077
893	9004	1067
894	9014	1057
895	9024	1047
896	9036	1037
897	9045	1027
898	9055	1017
899	9065	1007
900	9074	997
901	9083	986
902	9093	976
903	9102	966
904	9113	956
905	9125	946
906	9135	936
907	9145	926
908	9154	916
909	9163	906
910	9172	896
911	9184	886
912	9194	876
913	9205	866
914	9215	856
915	9227	846
916	9237	836
917	9246	825
918	9257	815
919	9268	805
920	9278	795
921	9288	785
922	9298	775
923	9309	765
924	9318	755
925	9328	745
926	9337	735
927	9347	725
928	9356	715
929	9366	704
930	9376	694
931	9385	684
932	9393	674
933	9403	664
934	9412	654
935	9422	644
936	9431	634
937	9440	624
938	9450	613
939	9460	603
940	9469	593
941	9479	583
942	9489	573
943	9499	563
944	9509	553
945	9519	543
946	9528	533
947	9538	523
948	9548	513
949	9559	503
950	9569	493
951	9580	483
952	9589	472
953	9598	462
954	9609	452
955	9621	442
956	9631	432
957	9641	422
958	9650	412
959	9661	402
960	9671	392
961	9680	382
962	9690	372
963	9699	362
964	9710	352
965	9720	342
966	9729	332
967	9739	321
968	9750	311
969	9761	301
970	9769	291
971	9780	281
972	9790	271
973	9801	261
974	9811	251
975	9821	241
976	9832	231
977	9841	221
978	9851	211
979	9863	201
980	9872	191
981	9882	181
982	9892	171
983	9901	161
984	9911	150
985	9920	140
986	9931	130
987	9941	120
988	9952	110
989	9961	100
990	9971	90
991	9980	80
992	9990	70
993	10000	60
994	10010	50
995	10021	40
996	10032	30
997	10044	20
998	10053	10
999	10063	0
